fnb_partner_order,fnb_brand_key,fnb_brand_name,fnb_category,address_text,collaboration_terms_summary,coupon_type,source_file,needs_manual_review,latitude,longitude,geocoded_address,geocode_score,geocode_addr_type,needs_manual_verification,nearest_location_key,nearest_location_distance_km
1,도우클럽,도우클럽,식당,연희맛로 5 지하1층 101호,전체 금액에 할인 쿠폰 1장 -1000원 할인 - 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.566165154598,126.928450431176,서울특별시 서대문구 연희동 연희맛로 5,98.64,PointAddress,False,연희정음,0.095
2,비전스트롤,비전스트롤,카페,연희로11가길 24 1층,1인 메뉴당 1장 사용 가능 / 2인 메뉴 2개이상 주문 시에만 2장 사용 가능 / 1장 - 1000원,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567356642134,126.928486557178,서울특별시 서대문구 연희동 연희로11가길 24,99.0,PointAddress,False,비전스트롤 콜라보,0.0
3,연희동국화빵,연희동국화빵,디저트,연희맛로 17-21 1층,할인쿠폰 한장 - 원하는 맛 국화빵 하나 제공 / 인당 1장 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.56663152369,126.928806578242,서울특별시 서대문구 연희동 연희맛로 17-21,98.95,PointAddress,False,연희정음,0.042
4,케뚜,케뚜,식당,연희로11나길 5 지층 01호,브런치(음식메뉴) 주문시 메뉴 당 쿠폰 1장 사용가능 (최대 2장 까지 사용 가능),1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567493895799,126.928321014591,서울특별시 서대문구 연희동 연희로11나길 5,99.55,PointAddress,False,시이작,0.0
5,위어도우,위어도우,식당,증가로 80 2층 201호,"1. 음식 메뉴 1개당 1장 사용 가능/ 메뉴 2개 주문시 2장 2. 피자와 파스타, 화덕구이메뉴 등 음식메뉴에 한함 (사이드메뉴는 사용 불가)",1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.574607742752,126.927424737684,서울특별시 서대문구 연희동 증가로 80,99.5,PointAddress,False,대저택프라이빗,0.431
6,베지스,베지스,식당,홍연길 87 1층(연희동),할인쿠폰 한장 - 후무스 한 스쿱 추가 / 인당 1장 사용가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.576870102238,126.93122802625,서울특별시 서대문구 연희동 홍연길 87,98.95,PointAddress,False,마인드플로우,0.408
7,쏘블루,쏘블루,카페/서점,서대문구 증가로 27 1층,음료/도서/굿즈 구매 시 할인쿠폰 사용 가능(1인 1장),1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.570544615188,126.93029310877,서울특별시 서대문구 연희동 증가로 27,97.88,PointAddress,False,대저택프라이빗,0.139
8,노만주의,노만주의,카페,"연희로11가길 8 1층, 2층",전체 금액에 할인 쿠폰 1장 -1000원 할인 - 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567929796673,126.929177645095,서울특별시 서대문구 연희동 연희로11가길 8,98.1,PointAddress,False,비전스트롤 콜라보,0.088
9,마우디,마우디,식당,연희로11길 18,전체 금액에 할인 쿠폰 1장 -1000원 할인 - 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567489201933,126.930131170401,서울특별시 서대문구 연희동 연희로11길 18,100.0,PointAddress,False,데이스타콜라보,0.103
10,마우디브런치,마우디브런치,식당,연희로 82 브라운스톤 A 102,전체 금액에 할인 쿠폰 1장 -1000원 할인 - 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.565066622368,126.930408276119,서울특별시 서대문구 연희동 연희로 82,96.09,PointAddress,False,마이트리,0.113
12,엄마식탁,엄마식탁,식당,연희맛로 17-21,할인쿠폰 사용시 음료 1개 제공,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.566637082,126.928813471,서울특별시 서대문구 연희맛로 17-21,100.0,PointAddress,False,연희정음,0.042
13,탄정,탄정,티하우스,연희로11가길 8-8 지층,1. 연희 요가 위크 기간 동안 탄정 방문 후 음료 혹은 차 주문 시 버터떡 제공(조기 소진 시 모나카로 대체) 2. 연희 요가 위크 기간 동안 탄정 방문 후 소분 잎차 및 기물 구매 시 10프로 할인,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.568140308172,126.929006989547,서울특별시 서대문구 연희동 연희로11가길 8-8,99.0,PointAddress,False,시이작,0.094
14,텍스처커피,텍스처커피,카페,연희로11가길 51,모든 메뉴 사용 가능  메뉴 1개당 쿠폰 1장 사용 (한 메뉴에 여러 장 사용 불가)  1회 최대 2장 사용 (2장 이상 사용 가능 여부는 매장 상황에 따라 상이),1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.566348760187,126.927549628041,서울특별시 서대문구 연희동 연희로11가길 51,100.0,PointAddress,False,파츄코파라다이스,0.031
15,금옥당,금옥당,디저트,연희로11라길 2,모든 메뉴 사용 가능  메뉴 1개당 쿠폰 1장 사용 (한 메뉴에 여러 장 사용 불가)  1회 최대 2장 사용 (2장 이상 사용 가능 여부는 매장 상황에 따라 상이),1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567959300973,126.929716433831,서울특별시 서대문구 연희동 연희로11라길 2,100.0,PointAddress,False,빅블루요가,0.103
16,금옥호두과자,금옥호두과자,디저트,연희맛로 23 . 1층 6호,모든 메뉴 사용 가능  메뉴 1개당 쿠폰 1장 사용 (한 메뉴에 여러 장 사용 불가)  1회 최대 2장 사용 (2장 이상 사용 가능 여부는 매장 상황에 따라 상이),1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.567154596358,126.929661197089,서울특별시 서대문구 연희동 연희맛로 23,99.47,PointAddress,False,연희정음,0.06
17,춘광,춘광,요리주점,연희맛로 31-10 안 쪽 나무문 가게,주류 메뉴를 제외한 요리 메뉴에 테이블당 1장 사용 가능,1000krw_discount_or_menu_benefit,fnb_partner_brands.xlsx,False,37.568183433063,126.93042554284,서울특별시 서대문구 연희동 연희맛로 31-10,97.08,PointAddress,False,빅블루요가,0.07
