area_key,asset_type,total_manifest_rows,local_copy_count,private_or_sensitive_count
design,image,6,6,0
design,design_source,1,1,0
design,folder,1,0,0
fnb,image,60,60,0
fnb,design_source,13,13,0
fnb,spreadsheet,1,1,0
fnb,folder,19,0,0
operations_response,spreadsheet,1,1,1
other,image,6,6,0
other,document,4,4,0
other,spreadsheet,2,2,1
other,design_source,1,1,0
other,folder,2,0,0
program,image,91,91,0
program,document,22,22,0
program,spreadsheet,1,1,0
program,folder,29,0,0
recovery,spreadsheet,1,1,1
recovery,folder,1,0,1
sponsor,image,178,156,0
sponsor,design_source,10,10,0
sponsor,archive,5,5,0
sponsor,document,2,2,0
sponsor,other,2,1,0
sponsor,folder,30,0,0
sponsor,video,1,0,0
