sponsor_key,sponsor_name,sponsor_asset_count,image_asset_count,design_source_count,document_asset_count,archive_asset_count,source_basis,needs_manual_review
연희정음,연희정음,53,49,1,1,1,Google Drive sponsor folder asset inventory,False
베지어트,베지어트,40,40,0,0,0,Google Drive sponsor folder asset inventory,False
스폰서카드뉴스,스폰서 카드뉴스,21,21,0,0,0,Google Drive sponsor folder asset inventory,False
비카인드,비카인드,10,8,2,0,0,Google Drive sponsor folder asset inventory,False
워크풀니스,워크풀니스,10,6,0,0,4,Google Drive sponsor folder asset inventory,False
쿠키아,쿠키아,9,6,3,0,0,Google Drive sponsor folder asset inventory,False
더퓨어로터스,더퓨어로터스,8,6,2,0,0,Google Drive sponsor folder asset inventory,False
라씰스킨,라씰스킨,5,5,0,0,0,Google Drive sponsor folder asset inventory,False
프레비츠,프레비츠,5,3,1,1,0,Google Drive sponsor folder asset inventory,False
곡물도감,곡물도감,4,4,0,0,0,Google Drive sponsor folder asset inventory,False
파브리카,파브리카,4,3,1,0,0,Google Drive sponsor folder asset inventory,False
오붓,오붓,2,2,0,0,0,Google Drive sponsor folder asset inventory,False
모제이,모제이,1,1,0,0,0,Google Drive sponsor folder asset inventory,False
어반플레이,어반플레이,1,1,0,0,0,Google Drive sponsor folder asset inventory,False
프라우카,프라우카,1,1,0,0,0,Google Drive sponsor folder asset inventory,False
