studio_key,class_count,reservation_count,review_count,reservation_hype,review_hype,satisfaction_hype,operations_stability,participant_price_proxy_krw,matched_class_count,capacity_session_count,total_reserved_count_capacity,total_capacity,sold_out_session_count,high_fill_session_count,low_fill_session_count,expand_or_repeat_candidate_count,message_or_schedule_review_count,demand_development_candidate_count,weighted_fill_rate,sold_out_session_share,high_fill_session_share
대저택프라이빗,9,98,6,62.5,54.16,81.0,65.77,1872500,9,11,98,98,11,11,0,3,0,0,1.0,1.0,1.0
비전스트롤 콜라보,1,10,1,12.5,47.91,100.0,58.82,180000,1,1,10,10,1,1,0,0,0,0,1.0,1.0,1.0
빅블루요가,6,200,21,54.17,91.66,97.43,55.87,3707500,6,33,200,215,25,28,2,6,0,0,0.9302325581395349,0.7575757575757576,0.8484848484848485
무릉,1,47,1,45.83,16.66,100.0,77.05,847500,1,10,45,50,8,9,1,1,0,0,0.9,0.8,0.9
시이작,14,231,13,70.83,66.67,98.46,57.18,4452500,14,55,231,260,41,43,2,4,0,1,0.8884615384615384,0.7454545454545455,0.7818181818181819
연남장,16,348,12,95.83,43.75,96.67,63.74,6897500,16,16,341,390,8,12,3,8,0,3,0.8743589743589744,0.5,0.75
데이스타콜라보,1,11,0,4.17,4.17,,50.0,207500,1,1,11,13,0,1,0,0,0,0,0.8461538461538461,0.0,1.0
마이트리,13,292,13,79.17,58.34,97.85,61.47,5612500,13,60,288,368,30,37,14,5,0,0,0.782608695652174,0.5,0.6166666666666667
연희정음,9,96,12,37.5,77.08,96.17,56.8,1832500,9,10,96,128,6,8,2,4,0,2,0.75,0.6,0.8
숨명상센터,5,44,1,29.17,20.83,100.0,59.46,805000,5,8,44,60,2,3,1,0,0,0,0.7333333333333333,0.25,0.375
너울너울,1,30,3,20.83,56.25,100.0,54.55,577500,1,8,30,41,4,5,3,0,0,0,0.7317073170731707,0.5,0.625
마인드플로우,7,270,13,87.5,62.5,99.08,63.08,5122500,7,49,270,412,14,21,13,0,0,1,0.6553398058252428,0.2857142857142857,0.42857142857142855
