normalized_studio_key,source_studio_keys,class_count,reservation_count,cancellation_count,net_reservation_count,review_count,pass_reservation_count,one_time_reservation_count,participant_price_proxy_krw,instructor_tag_count,space_tag_count,atmosphere_tag_count,difficulty_tag_count,recovery_tag_count,revisit_intent_tag_count,avg_overall_rating,avg_class_rating,avg_atmosphere_rating,avg_facility_rating,avg_visit_count,cancellation_rate,review_rate_per_reservation,reservation_hype,review_hype,satisfaction_hype,revisit_hype,payment_hype,operations_stability,studio_key,display_name,address,latitude,longitude,location_source,source_detail,geocode_method,geocode_confidence,needs_manual_verification,notes,geocoded_address,geocode_addr_type,geocode_score,distance_from_activity_center_km,activity_center_latitude,activity_center_longitude
연남장,연남장,16,348,198,150,12,187,145,6897500,7,10,10,1,4,1,4.833333333333333,4.916666666666667,4.916666666666667,4.666666666666667,2.5,0.3626373626373626,0.034482758620689655,95.83,43.75,96.67,40.91,95.83,63.74,연남장,연남장,서울특별시 서대문구 연희로5길 22,37.564330104536,126.927584999673,ON STUDIO class description,수업 설명 내 장소 표기: 서울특별시 서대문구 연희로5길 22 연남장,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로5길 22,PointAddress,100.0,0.535,37.568706932631684,126.93011521721975
마이트리,마이트리,13,292,183,109,13,195,88,5612500,7,5,10,5,4,7,4.892307692307693,4.923076923076923,4.769230769230769,5.0,2.923076923076923,0.38526315789473686,0.04452054794520548,79.17,58.34,97.85,50.0,87.5,61.47,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,ON STUDIO class description,수업 설명 내 장소 표기: 서울 서대문구 연희로 85 5층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로 85,PointAddress,100.0,0.302,37.568706932631684,126.93011521721975
마인드플로우,마인드플로우,7,270,158,112,13,157,95,5122500,6,8,12,1,4,4,4.953846153846154,5.0,5.0,4.846153846153846,2.4615384615384617,0.3691588785046729,0.04814814814814815,87.5,62.5,99.08,31.82,79.17,63.08,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,ON STUDIO class description,수업 설명 내 장소 표기: 서울 서대문구 연희로 224 3층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로 224,PointAddress,100.0,1.054,37.568706932631684,126.93011521721975
시이작,시이작,14,231,173,58,13,153,71,4452500,9,5,12,5,7,8,4.923076923076923,5.0,5.0,4.769230769230769,1.7692307692307692,0.4282178217821782,0.05627705627705628,70.83,66.67,98.46,13.64,70.83,57.18,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,ON STUDIO class description,수업 설명 내 장소 표기: 연희로11나길 5 2층 시이작,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로11나길 5,PointAddress,100.0,0.208,37.568706932631684,126.93011521721975
빅블루요가,빅블루요가,6,200,158,42,21,159,37,3707500,10,7,12,2,11,14,4.871428571428571,4.857142857142857,4.904761904761905,4.857142857142857,2.952380952380953,0.441340782122905,0.105,54.17,91.66,97.43,59.09,62.5,55.87,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,ON STUDIO class description,수업 설명 내 장소 표기: 서울 서대문구 연희로15길 31 지층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로15길 31,PointAddress,100.0,0.014,37.568706932631684,126.93011521721975
대저택프라이빗,대저택프라이빗,9,98,51,47,6,67,28,1872500,1,4,6,0,4,1,4.05,4.666666666666667,4.0,3.5,3.5,0.3422818791946309,0.061224489795918366,62.5,54.16,81.0,95.45,54.17,65.77,대저택프라이빗,바운드하우스,서울특별시 서대문구 연희동 108-6,37.570882196338,126.928780175247,ON STUDIO class description,수업 설명 내 장소 표기: 서울특별시 서대문구 연희동 108-6 / 바운드하우스,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 108-6,PointAddress,100.0,0.269,37.568706932631684,126.93011521721975
연희정음,연희정음,9,96,73,23,12,59,32,1832500,6,11,11,0,9,5,4.808333333333334,5.0,4.833333333333333,4.583333333333333,1.9166666666666667,0.4319526627218935,0.125,37.5,77.08,96.17,22.73,45.83,56.8,연희정음,연희정음,서울특별시 서대문구 연희동 189-2,37.566711570866,126.929277808838,ON STUDIO class description,수업 설명 내 장소 표기: 서울특별시 서대문구 연희동 189-2 / 연희정음 3층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 189-2,PointAddress,100.0,0.234,37.568706932631684,126.93011521721975
무릉,무릉,1,47,14,33,1,37,8,847500,0,0,1,0,0,1,5.0,5.0,5.0,5.0,3.0,0.22950819672131148,0.02127659574468085,45.83,16.66,100.0,72.73,37.5,77.05,무릉,무릉,서울특별시 서대문구 연희로11마길 23,37.568813333087,126.927272103227,ON STUDIO class description,수업 설명 내 장소 표기: 서울 서대문구 연희로11마길 23,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로11마길 23,PointAddress,100.0,0.251,37.568706932631684,126.93011521721975
숨명상센터,숨명상센터,5,44,30,14,1,36,7,805000,0,1,1,0,1,0,5.0,5.0,5.0,5.0,1.0,0.40540540540540543,0.022727272727272728,29.17,20.83,100.0,4.55,29.17,59.46,숨명상센터,숨 명상센터,서울특별시 서대문구 연희동 16-2 2층,37.572092920342,126.93806774306,ON STUDIO class description,수업 설명 내 장소 표기: 서울시 서대문구 연희동 16-2 2층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 16-2,PointAddress,100.0,0.796,37.568706932631684,126.93011521721975
너울너울,너울너울,1,30,25,5,3,23,7,577500,2,2,3,1,0,2,5.0,5.0,5.0,5.0,3.3333333333333335,0.45454545454545453,0.1,20.83,56.25,100.0,86.36,20.83,54.55,너울너울,너울너울,서울특별시 마포구 성산동 3-30,37.565560190736,126.91602233188,ON STUDIO class description,수업 설명 내 장소 표기: 너울너울 (성산동 3-30),ArcGIS World Geocoding Service,1.0,False,,서울특별시 마포구 성산동 3-30,PointAddress,100.0,1.29,37.568706932631684,126.93011521721975
데이스타콜라보,데이스타콜라보,1,11,11,0,0,9,2,207500,0,0,0,0,0,0,,,,,,0.5,0.0,4.17,4.17,,,12.5,50.0,데이스타콜라보,데이스타콜라보,서울특별시 서대문구 연희로 107-1 B1층,37.567682614349,126.931274545813,ON STUDIO class description,수업 설명 내 장소 표기: 연희로 107-1 B1층,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로 107-1,PointAddress,100.0,0.153,37.568706932631684,126.93011521721975
비전스트롤 콜라보,비전스트롤 콜라보,1,10,7,3,1,6,3,180000,0,1,1,0,1,0,5.0,5.0,5.0,5.0,3.0,0.4117647058823529,0.1,12.5,47.91,100.0,72.73,4.17,58.82,비전스트롤 콜라보,비전스트롤,서울특별시 서대문구 연희로11가길 24,37.567356642134,126.928486557178,ON STUDIO class description,수업 설명 내 장소 표기: 연희로11가길 24 건물 옥상,ArcGIS World Geocoding Service,1.0,False,,서울특별시 서대문구 연희동 연희로11가길 24,PointAddress,100.0,0.208,37.568706932631684,126.93011521721975
