body_relevance_level,experience_depth_label,sentiment_tone,mention_count,manual_review_recommended_count,average_body_text_chars
confirmed_body_strong,high_depth,very_positive,15,0,2380.47
confirmed_body_strong,high_depth,positive,8,0,1623.5
confirmed_body_strong,medium_depth,positive,7,0,773.14
confirmed_body_basic,high_depth,very_positive,3,0,1993.67
confirmed_body_basic,low_depth,positive,3,1,945.67
confirmed_body_basic,medium_depth,very_positive,3,1,1141.0
confirmed_body_basic,medium_depth,neutral_or_unclear,2,0,734.0
confirmed_body_basic,medium_depth,positive,2,0,580.5
confirmed_body_basic,thin_reference,neutral_or_unclear,2,0,142.5
confirmed_body_strong,high_depth,neutral_or_unclear,2,0,1072.0
confirmed_body_strong,medium_depth,very_positive,2,0,1311.0
confirmed_body_basic,high_depth,positive,1,0,1960.0
confirmed_body_basic,low_depth,mixed,1,0,888.0
confirmed_body_basic,thin_reference,positive,1,0,298.0
confirmed_body_strong,low_depth,mixed,1,0,488.0
confirmed_body_strong,low_depth,neutral_or_unclear,1,0,726.0
confirmed_body_strong,low_depth,positive,1,1,899.0
confirmed_body_strong,medium_depth,neutral_or_unclear,1,0,894.0
needs_review_title_only,high_depth,negative_or_disappointed,1,1,1176.0
needs_review_title_only,low_depth,positive,1,1,534.0
